Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert,MedAge,UrbanPop,WorldShare,PopChange
Algeria,43984569,0.0185,797990,18,2381740,-10000,3.1,29,73%,0.56%,1.85
Sudan,44019263,0.0242,1036022,25,1765048,-50000,4.4,20,35%,0.56%,2.42
Ukraine,43686577,-0.0059,-259876,75,579320,10000,1.4,41,69%,0.56%,-0.59
Iraq,40372771,0.0232,912710,93,434320,7834,3.7,21,73%,0.52%,2.32
Afghanistan,39074280,0.0233,886592,60,652860,-62920,4.6,18,25%,0.50%,2.33
Poland,37839255,-0.0011,-41157,124,306230,-29395,1.4,42,60%,0.49%,-0.11
Canada,37799407,0.0089,331107,4,9093510,242032,1.5,41,81%,0.48%,0.89
Morocco,36985624,0.012,438791,83,446300,-51419,2.4,30,64%,0.47%,1.2
Saudi Arabia,34905942,0.0159,545343,16,2149690,134979,2.3,32,84%,0.45%,1.59
Uzbekistan,33551824,0.0148,487487,79,425400,-8863,2.4,28,50%,0.43%,1.48
Peru,33050211,0.0142,461401,26,1280000,99069,2.3,31,79%,0.42%,1.42
Angola,33032075,0.0327,1040977,26,1246700,6413,5.6,17,67%,0.42%,3.27
Malaysia,32436963,0.013,416222,99,328550,50000,2,30,78%,0.42%,1.3
Mozambique,31398811,0.0293,889399,40,786380,-5000,4.9,18,38%,0.40%,2.93
Ghana,31181428,0.0215,655084,137,227540,-10000,3.9,22,57%,0.40%,2.15
Yemen,29935468,0.0228,664042,56,527970,-30000,3.8,20,38%,0.38%,2.28
Nepal,29225196,0.0185,528098,203,143350,41710,1.9,25,21%,0.37%,1.85
Venezuela,28421581,-0.0028,-79889,32,882050,-653249,2.3,30,N.A.,0.36%,-0.28
Madagascar,27808395,0.0268,721711,48,581795,-1500,4.1,20,39%,0.36%,2.68
Cameroon,26655083,0.0259,669483,56,472710,-4800,4.6,19,56%,0.34%,2.59
Côte d'Ivoire,26486282,0.0257,661730,83,318000,-8000,4.7,19,51%,0.34%,2.57
North Korea,25798588,0.0044,112655,214,120410,-5403,1.9,35,63%,0.33%,0.44
Australia,25550683,0.0118,296686,3,7682300,158246,1.8,38,86%,0.33%,1.18
Niger,24346468,0.0384,895929,19,1266700,4000,7,15,17%,0.31%,3.84
Taiwan,23824369,0.0018,42899,673,35410,30001,1.2,42,79%,0.31%,0.18
Sri Lanka,21428970,0.0042,89516,341,62710,-97986,2.2,34,18%,0.27%,0.42
Burkina Faso,20997293,0.0286,581895,76,273600,-25000,5.2,18,31%,0.27%,2.86
Mali,20346106,0.0302,592802,17,1220190,-40000,5.9,16,44%,0.26%,3.02
Romania,19214608,-0.0066,-126866,84,230170,-73999,1.6,43,55%,0.25%,-0.66
Malawi,19211425,0.0269,501205,203,94280,-16053,4.3,18,18%,0.25%,2.69
Chile,19144605,0.0087,164163,26,743532,111708,1.7,35,85%,0.25%,0.87
Kazakhstan,18815231,0.0121,225280,7,2699700,-18000,2.8,31,58%,0.24%,1.21
Zambia,18468257,0.0293,522925,25,743390,-8000,4.7,18,45%,0.24%,2.93
Guatemala,17971382,0.019,334096,167,107160,-9215,2.9,23,52%,0.23%,1.9
Ecuador,17688599,0.0155,269392,71,248360,36400,2.4,28,63%,0.23%,1.55
Syria,17571053,0.0252,430523,95,183630,-427391,2.8,26,60%,0.22%,2.52
Netherlands,17141544,0.0022,37742,508,33720,16000,1.7,43,92%,0.22%,0.22
Senegal,16816539,0.0275,447563,87,192530,-20000,4.7,19,49%,0.21%,2.75
Cambodia,16758448,0.0141,232423,95,176520,-30000,2.5,26,24%,0.21%,1.41
Chad,16502877,0.03,478988,13,1259200,2000,5.8,17,23%,0.21%,3
Somalia,15965848,0.0292,450317,25,627340,-40000,6.1,17,47%,0.20%,2.92
Zimbabwe,14899771,0.0148,217456,38,386850,-116858,3.6,19,38%,0.19%,1.48
